shùn shun4
huàng huang4
kòu kou4
bi bi5
piào piao4
léi lei2
she5 she5
dǐng ding3
fǎ fa3
shuo shuo5
zhōng zhong1
lie lie5
zǔn zun3
dù du4
lún lun2
huò huo4
shuà shua4
chuàng chuang4
qu qu5
zhēng zheng1
qìn qin4
chǎi chai3
chòng chong4
ga ga5
láo lao2
pàng pang4
bǎn ban3
ǎn an3
ding ding5
cai cai5
hān han1
kǔn kun3
cēng ceng1
ke ke5
xing xing5
fāng fang1
cī ci1
chí chi2
cǎ ca3
liǎo liao3
kēng keng1
tāng tang1
nà na4
běn ben3
qiè qie4
zéi zei2
k zǎi
ǒu ou3
bào bao4
chǒu chou3
sǒu sou3
mèng meng4
tēi tei1
jiāng jiang1
yuē yue1
zhuǎn zhuan3
ne ne5
pén pen2
zhè zhe4
gàn gan4
wǔ wu3
wēng weng1
jing jing5
cuī cui1
bāo bao1
hòng hong4
l l
shào shao4
xiū xiu1
yí yi2
gao gao5
chà cha4
tián tian2
tǎo tao3
lōu lou1
tun tun5
dàng dang4
yuān yuan1
chóu chou2
yàn yan4
zhāng zhang1
ě e3
hou hou5
kuáng kuang2
niàng niang4
chuáng chuang2
r r5
shū shu1
lù lu4
mo mo5
o o5
tiě tie3
zhài zhai4
zǒu zou3
mī mi1
xx xx
ji ji5
bīn bin1
rèng reng4
zhái zhai2
lí li2
lei lei5
zì zi4
kōng kong1
dāng dang1
gang gang5
niǔ niu3
qiàn qian4
shǎ sha3
fèn fen4
néng neng2
zhuī zhui1
chēng cheng1
zǎ za3
jié jie2
nòu nou4
shā sha1
rǒng rong3
chang chang5
pān pan1
xíng xing2
guī gui1
dì di4
fu fu5
kǎ ka3
lōng long1
yǎo yao3
cú cu2
cén cen2
chǐ chi3
nín nin2
pō po1
qú qu2
zhé zhe2
cǐ ci3
bēng beng1
bao5 bao5
die die5
dié die2
fó fo2
kuǎn kuan3
chǔ chu3
kuān kuan1
nèi nei4
tuo tuo5
tíng ting2
diǎn dian3
tú tu2
tāi tai1
kuǎ kua3
yā ya1
yǎn yan3
béng beng2
duì dui4
liǎn lian3
tǎng tang3
cuàn cuan4
bó bo2
cuó cuo2
jiù jiu4
dǔn dun3
er er5
tōng tong1
sou sou5
luo luo5
shuā shua1
chǒng chong3
mǒu mou3
níng ning2
se se5
xīn xin1
liàn lian4
kuāng kuang1
shéi shei2
yùn yun4
yō yo1
zān zan1
dí di2
jiu jiu5
gé ge2
y y
lu lu5
nī ni1
zāng zang1
gǔn gun3
wāi wai1
sǔn sun3
lūn lun1
zhuǎng zhuang3
bàng bang4
sì si4
fǔ fu3
zhǎng zhang3
biàn bian4
péi pei2
chuā chua1
zhǒu zhou3
lāng lang1
chǎo chao3
cóng cong2
rōng rong1
wú wu2
mà ma4
kàn kan4
pai5 pai5
chuán chuan2
páo pao2
nǎo nao3
dīng ding1
fān fan1
bāng bang1
qiáng qiang2
shè she4
gèng geng4
shuì shui4
méi mei2
qing qing5
shui shui5
niū niu1
ó o2
e1 e1
